benefit_from_altruism,cost_of_altruism,disease,harshness,altruistic_probability,selfish_probability,coexist_prob,altruist_avg,selfish_avg,black_avg
0,0,0.26,1,0.39,0.39,0,0,0,2601
0,0.01,0.26,1,0.39,0.39,0,0,0,2601
0,0.01,0.26,0.99,0.39,0.39,0,0,0,2601
0,0,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.01,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.02,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.01,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.01,0.26,0.96,0.39,0.39,0,0,0,2601
0,0,0.26,0.98,0.39,0.39,0,0,0,2601
0,0,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.02,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.02,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.02,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.02,0.26,0.99,0.39,0.39,0,0,0,2601
0,0,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.01,0.26,0.95,0.39,0.39,0,0,0,2601
0,0,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.02,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.01,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.02,0.26,1,0.39,0.39,0,0,0,2601
0,0,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.01,0.26,0.93,0.39,0.39,0,0,0,2601
0,0,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.02,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.03,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.03,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.03,0.26,1,0.39,0.39,0,0,0,2601
0,0.03,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.03,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.03,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.03,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.01,0.26,0.92,0.39,0.39,0,0,0,2601
0,0,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.03,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.03,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.02,0.26,0.92,0.39,0.39,0,0,0,2601
0,0,0.26,0.91,0.39,0.39,0,0,27.8,2573.2
0,0.05,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.04,0.26,1,0.39,0.39,0,0,0,2601
0,0.05,0.26,1,0.39,0.39,0,0,0,2601
0,0.02,0.26,0.91,0.39,0.39,0,0,27.8,2573.2
0,0.04,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.05,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.04,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.03,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.05,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.04,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.05,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.01,0.26,0.91,0.39,0.39,0,0,27.8,2573.2
0,0.05,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.04,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.04,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.04,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.06,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.04,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.05,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.06,0.26,0.99,0.39,0.39,0,0,0,2601
0,0,0.26,0.9,0.39,0.39,0.2,110.6,36.4,2454
0,0.06,0.26,1,0.39,0.39,0,0,0,2601
0,0.06,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.06,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.05,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.06,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.06,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.04,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.07,0.26,1,0.39,0.39,0,0,0,2601
0,0.07,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.07,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.07,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.06,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.06,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.07,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.07,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.07,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.01,0.26,0.9,0.39,0.39,0,0,144.8,2456.2
0,0.05,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.08,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.02,0.26,0.9,0.39,0.39,0,0,147,2454
0,0.05,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.08,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.08,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.08,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.08,0.26,1,0.39,0.39,0,0,0,2601
0,0.08,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.08,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.07,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.08,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.03,0.26,0.9,0.39,0.39,0,0,144.2,2456.8
0,0.07,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.04,0.26,0.91,0.39,0.39,0,0,2.6,2598.4
0,0.06,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.09,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.09,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.09,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.09,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.09,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.09,0.26,1,0.39,0.39,0,0,0,2601
0,0.1,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.09,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.1,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.09,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.1,0.26,1,0.39,0.39,0,0,0,2601
0,0.08,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.1,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.1,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.07,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.08,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.1,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.09,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.1,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.11,0.26,1,0.39,0.39,0,0,0,2601
0,0.11,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.11,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.11,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.11,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.11,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.11,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.05,0.26,0.9,0.39,0.39,0,0,71.8,2529.2
0,0.1,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.06,0.26,0.9,0.39,0.39,0,0,71.8,2529.2
0,0.04,0.26,0.9,0.39,0.39,0,0,140.8,2460.2
0,0.1,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.12,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.12,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.11,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.12,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.12,0.26,1,0.39,0.39,0,0,0,2601
0,0.12,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.12,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.12,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.11,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.12,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.1,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.11,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.13,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.13,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.13,0.26,1,0.39,0.39,0,0,0,2601
0,0.13,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.09,0.26,0.91,0.39,0.39,0,0,5.6,2595.4
0,0.07,0.26,0.9,0.39,0.39,0,0,59.4,2541.6
0,0.13,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.13,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.13,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.12,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.14,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.14,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.13,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.14,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.14,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.14,0.26,1,0.39,0.39,0,0,0,2601
0,0.14,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.08,0.26,0.9,0.39,0.39,0,0,67.4,2533.6
0,0.14,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.14,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.13,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.15,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.15,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.15,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.15,0.26,1,0.39,0.39,0,0,0,2601
0,0.15,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.15,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.15,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.16,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.15,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.16,0.26,1,0.39,0.39,0,0,0,2601
0,0.16,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.14,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.12,0.26,0.91,0.39,0.39,0,0,5.6,2595.4
0,0.16,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.09,0.26,0.9,0.39,0.39,0,0,87.2,2513.8
0,0.16,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.16,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.16,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.13,0.26,0.91,0.39,0.39,0,0,5.6,2595.4
0,0.16,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.14,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.1,0.26,0.9,0.39,0.39,0,0,105.8,2495.2
0,0.17,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.17,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.17,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.17,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.17,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.17,0.26,1,0.39,0.39,0,0,0,2601
0,0.17,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.15,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.17,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.11,0.26,0.9,0.39,0.39,0,0,92,2509
0,0.15,0.26,0.91,0.39,0.39,0,0,5,2596
0,0.18,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.18,0.26,1,0.39,0.39,0,0,0,2601
0,0.18,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.18,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.18,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.18,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.18,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.16,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.18,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.16,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.19,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.19,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.19,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.19,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.19,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.19,0.26,1,0.39,0.39,0,0,0,2601
0,0.12,0.26,0.9,0.39,0.39,0,0,106.4,2494.6
0,0.17,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.19,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.18,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.13,0.26,0.9,0.39,0.39,0,0,158.8,2442.2
0,0.17,0.26,0.91,0.39,0.39,0,0,2.4,2598.6
0,0.2,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.2,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.2,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.2,0.26,1,0.39,0.39,0,0,0,2601
0,0.2,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.2,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.18,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.19,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.14,0.26,0.9,0.39,0.39,0,0,63.6,2537.4
0,0.2,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.21,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.21,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.21,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.21,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.19,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.21,0.26,1,0.39,0.39,0,0,0,2601
0,0.21,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.2,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.21,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.2,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.19,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.21,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.22,0.26,1,0.39,0.39,0,0,0,2601
0,0.21,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.15,0.26,0.9,0.39,0.39,0,0,138.4,2462.6
0,0.22,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.23,0.26,1,0.39,0.39,0,0,0,2601
0,0.16,0.26,0.9,0.39,0.39,0,0,73.8,2527.2
0,0.23,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.17,0.26,0.9,0.39,0.39,0,0,165.2,2435.8
0,0.23,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.2,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.24,0.26,1,0.39,0.39,0,0,0,2601
0,0.18,0.26,0.9,0.39,0.39,0,0,113.8,2487.2
0,0.23,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.25,0.26,1,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.19,0.26,0.9,0.39,0.39,0,0,105.4,2495.6
0,0.21,0.26,0.91,0.39,0.39,0,0,5.4,2595.6
0,0.26,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.26,0.26,1,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.91,0.39,0.39,0,0,0,2601
