step,channel,donor_species,recipient_species,donor_id,recipient_id,relation_hint,r_hat,r_true,donor_age,recipient_age,donor_energy_before,donor_energy_after,recipient_energy_before,recipient_energy_after,transfer_energy,benefit_B,cost_C,inclusive_score
2,prey_kin,prey,prey,709,3463,parent_to_child,1.0,1.0,5,1,0.49839780012499524,0.4683978001249952,0.8068727605165219,0.8368727605165219,0.03,0.0279704848272454,0.013692720184141222,0.004316401172304526
2,prey_kin,prey,prey,709,3463,parent_to_child,1.0,1.0,5,1,0.4683978001249952,0.4383978001249952,0.8368727605165219,0.866872760516522,0.03,0.025830023079636444,0.012447778126206704,0.004183182086104312
2,prey_kin,prey,prey,709,3463,parent_to_child,1.0,1.0,5,1,0.4383978001249952,0.40839780012499516,0.866872760516522,0.896872760516522,0.03,0.02366925989537516,0.011280829387749505,0.003958898364765286
2,prey_kin,prey,prey,709,3463,parent_to_child,1.0,1.0,5,1,0.40839780012499516,0.37839780012499513,0.896872760516522,0.926872760516522,0.03,0.021535756666127615,0.010194453834747638,0.0036715930964586335
2,prey_kin,prey,prey,1629,3310,parent_to_child,1.0,1.0,4,1,0.4436311672919631,0.41363116729196314,0.8154017364673833,0.8454017364673834,0.03,0.02736710796517028,0.011478641143454218,0.009850848494977419
2,prey_kin,prey,prey,1629,3310,parent_to_child,1.0,1.0,4,1,0.41363116729196314,0.3836311672919631,0.8454017364673834,0.8754017364673834,0.03,0.025215556897355773,0.01037811757757974,0.00927448730321103
2,prey_kin,prey,prey,1629,3310,parent_to_child,1.0,1.0,4,1,0.3836311672919631,0.3536311672919631,0.8754017364673834,0.9054017364673834,0.03,0.023058075269170808,0.009358762689118533,0.008612335249395246
2,prey_kin,prey,prey,1629,3310,parent_to_child,1.0,1.0,4,1,0.3536311672919631,0.35,0.9054017364673834,0.9090329037593465,0.003631167291963111,0.0026460134156983672,0.0010674896167620906,0.0009947712478172942
2,prey_kin,prey,prey,1196,4168,parent_to_child,1.0,1.0,4,0,0.48671457873503,0.45671457873502996,0.3982210189650246,0.4282210189650246,0.03,0.030374108051224036,0.013198877341988519,0.0036545904548912177
2,prey_kin,prey,prey,1196,4168,parent_to_child,1.0,1.0,4,0,0.45671457873502996,0.42671457873502994,0.4282210189650246,0.45822101896502465,0.03,0.03227278838422354,0.011983856898876113,0.005923118306182033
2,prey_kin,prey,prey,1196,4168,parent_to_child,1.0,1.0,4,0,0.42671457873502994,0.3967145787350299,0.45822101896502465,0.4882210189650247,0.03,0.03396012415783284,0.010848099737523195,0.007995115605849121
2,prey_kin,prey,prey,1196,4168,parent_to_child,1.0,1.0,4,0,0.3967145787350299,0.3667145787350299,0.4882210189650247,0.5182210189650247,0.03,0.035373935863226014,0.009793353701124594,0.009834333403772759
2,prey_kin,prey,prey,3800,3310,full_sibling,1.0,1.0,0,1,0.36297095505706073,0.35,0.9090329037593465,0.9220038588164072,0.012970955057060751,0.00919982462769775,0.0038767232613212826,0.0036543875584214994
3,prey_kin,prey,prey,2357,4320,full_sibling,1.0,1.0,2,1,0.4800335846534363,0.45003358465343635,0.48126847155938995,0.5112684715593899,0.03,0.03507371015454336,0.012921598675941726,0.010138094279261926
3,prey_kin,prey,prey,2357,4320,full_sibling,1.0,1.0,2,1,0.45003358465343635,0.4200335846534363,0.5112684715593899,0.54126847155939,0.03,0.03623888016273891,0.011723969339400842,0.012101780657136973
3,prey_kin,prey,prey,2357,4320,full_sibling,1.0,1.0,2,1,0.4200335846534363,0.3900335846534363,0.54126847155939,0.57126847155939,0.03,0.03703857516631309,0.010606173808225691,0.013745346663091577
3,prey_kin,prey,prey,2357,4320,full_sibling,1.0,1.0,2,1,0.3900335846534363,0.36003358465343627,0.57126847155939,0.60126847155939,0.03,0.037438356529319206,0.009569511875765477,0.015044850349090647
3,prey_kin,prey,prey,2147,4791,parent_to_child,1.0,1.0,5,0,0.49431001145115755,0.4643100114511576,0.40443546391458346,0.43443546391458343,0.03,0.030781624657727436,0.013518650469594912,0.004814967362102178
3,prey_kin,prey,prey,2147,4791,parent_to_child,1.0,1.0,5,0,0.4643100114511576,0.43431001145115755,0.43443546391458343,0.46443546391458346,0.03,0.03264178120440159,0.012284099676482294,0.007157432360948311
3,prey_kin,prey,prey,2147,4791,parent_to_child,1.0,1.0,5,0,0.43431001145115755,0.4043100114511575,0.46443546391458346,0.4944354639145835,0.03,0.03427742538075912,0.011128027071278315,0.009287699004687285
3,prey_kin,prey,prey,2147,4791,parent_to_child,1.0,1.0,5,0,0.4043100114511575,0.3743100114511575,0.4944354639145835,0.5244354639145835,0.03,0.0356272909570427,0.01005271435699226,0.011166995260288276
3,prey_kin,prey,prey,5504,3719,other,1.0,1.0,0,1,0.46065615931879433,0.4306561593187943,0.8072741947229709,0.8372741947229709,0.03,0.027942211275234108,0.012139032473612352,0.001622992361387474
3,prey_kin,prey,prey,5504,3719,other,1.0,1.0,0,1,0.4306561593187943,0.4006561593187943,0.8372741947229709,0.867274194722971,0.03,0.025801128329925427,0.010992716944972086,0.0017147873162301746
3,prey_kin,prey,prey,5504,3719,other,1.0,1.0,0,1,0.4006561593187943,0.37065615931879425,0.867274194722971,0.897274194722971,0.03,0.023640434775233365,0.009927297417284403,0.0017160277040638994
3,prey_kin,prey,prey,5504,3719,other,1.0,1.0,0,1,0.37065615931879425,0.35,0.897274194722971,0.9179303540417653,0.020656159318794276,0.015034153263507877,0.0062582322484752845,0.001146349606110081
4,pred_kin,predator,predator,251,160,full_sibling,1.0,1.0,0,3,1.3445856000000003,1.3245856000000003,2.2705200000000003,2.2905200000000003,0.02,0.007893879979202434,0.004153567496046784,0.0008116185511340621
4,pred_kin,predator,predator,251,160,full_sibling,1.0,1.0,0,3,1.3245856000000003,1.3045856000000002,2.2905200000000003,2.3105200000000004,0.02,0.007831644560056028,0.004157159315172687,0.0007688811615662065
4,prey_kin,prey,prey,4086,4937,other,1.0,1.0,2,1,0.3946097313868019,0.36460973138680186,0.8633636499968954,0.8933636499968954,0.03,0.02392143475801567,0.009722399288583594,0.0010215331433213702
4,prey_kin,prey,prey,4086,4937,other,1.0,1.0,2,1,0.36460973138680186,0.35,0.8933636499968954,0.9079733813836973,0.014609731386801883,0.01087208264609063,0.004379200326516577,0.0005038228920026862
4,prey_kin,prey,prey,4955,5203,other,1.0,1.0,1,1,0.7517198165563649,0.7217198165563649,0.7237686646800016,0.7537686646800016,0.03,0.033315193411050936,0.02580595325856455,0.0027855310550180742
4,prey_kin,prey,prey,4955,5203,other,1.0,1.0,1,1,0.7217198165563649,0.6917198165563648,0.7537686646800016,0.7837686646800016,0.03,0.031535737998025004,0.02441812309145841,0.002646212005233458
4,prey_kin,prey,prey,4955,5203,other,1.0,1.0,1,1,0.6917198165563648,0.6617198165563648,0.7837686646800016,0.8137686646800016,0.03,0.029570519434543474,0.022964377573319983,0.0024133842221973727
4,prey_kin,prey,prey,4955,5203,other,1.0,1.0,1,1,0.6617198165563648,0.6317198165563648,0.8137686646800016,0.8437686646800017,0.03,0.027483046081323903,0.02147357840441025,0.0021126896153632925
4,prey_kin,prey,prey,5680,4503,other,1.0,1.0,1,1,0.3851723912941008,0.35517239129410083,0.5491469457267616,0.5791469457267616,0.03,0.0371833205727366,0.009409159827806476,0.008094453112171558
4,prey_kin,prey,prey,5680,4503,other,1.0,1.0,1,1,0.35517239129410083,0.35,0.5791469457267616,0.5843193370208625,0.005172391294100853,0.006451934799972192,0.0015247278297414735,0.0015124449593797735
4,prey_kin,prey,prey,3299,4503,parent_to_child,1.0,1.0,3,1,0.5457598912941007,0.5157598912941007,0.5843193370208625,0.6143193370208625,0.03,0.03748232337420809,0.015803793620732504,0.002665680032352201
4,prey_kin,prey,prey,3299,4503,parent_to_child,1.0,1.0,3,1,0.5157598912941007,0.4857598912941007,0.6143193370208625,0.6443193370208625,0.03,0.037282051394990634,0.014446991991964614,0.003923797329130327
4,prey_kin,prey,prey,3299,4503,parent_to_child,1.0,1.0,3,1,0.4857598912941007,0.45575989129410066,0.6443193370208625,0.6743193370208626,0.03,0.03667115689885703,0.013159024781080955,0.00491074531853963
4,prey_kin,prey,prey,3299,4503,parent_to_child,1.0,1.0,3,1,0.45575989129410066,0.42575989129410063,0.6743193370208626,0.7043193370208626,0.03,0.03567631140057881,0.011946478014207076,0.005633080405206329
4,prey_kin,prey,prey,2513,4837,parent_to_child,1.0,1.0,3,1,0.3513962213510252,0.35,0.864556362340368,0.8659525836913933,0.0013962213510252397,0.0011572608333119128,0.000408842265774631,0.0002523197276522379
4,prey_kin,prey,prey,4142,5509,full_sibling,1.0,1.0,2,1,0.3624252989975965,0.35,0.24667529899759666,0.2591005979951932,0.012425298997596534,0.00791611015526636,0.0037100545008336566,0.0005014540511529587
5,pred_kin,predator,predator,204,262,full_sibling,1.0,1.0,3,0,2.2650400000000004,2.2450400000000004,1.3420512,1.3620512,0.02,0.006308249665326837,0.003454875695238613,0.0005509257989268429
5,pred_kin,predator,predator,204,262,full_sibling,1.0,1.0,3,0,2.2450400000000004,2.2250400000000004,1.3620512,1.3820512,0.02,0.0064114010407784194,0.0034785558203527245,0.0005927478266809566
5,pred_kin,predator,predator,160,251,full_sibling,1.0,1.0,4,1,2.3015200000000005,2.2815200000000004,1.2955856000000003,1.3155856000000004,0.02,0.006065178616735528,0.0034110875999260326,0.0008043465217467041
5,pred_kin,predator,predator,160,251,full_sibling,1.0,1.0,4,1,2.2815200000000004,2.2615200000000004,1.3155856000000004,1.3355856000000004,0.02,0.006170315178621294,0.0034351870394325745,0.0008533193326081415
5,prey_kin,prey,prey,3521,7385,parent_to_child,1.0,1.0,4,0,0.53904755048099,0.5090475504809899,0.4410389049389917,0.4710389049389917,0.03,0.03302329127688641,0.015494682674035587,0.001207575259558273
5,prey_kin,prey,prey,3521,7385,parent_to_child,1.0,1.0,4,0,0.5090475504809899,0.4790475504809899,0.4710389049389917,0.5010389049389917,0.03,0.03460111120838094,0.014152559949100363,0.0033477152156539784
5,prey_kin,prey,prey,3521,7385,parent_to_child,1.0,1.0,4,0,0.4790475504809899,0.4490475504809899,0.5010389049389917,0.5310389049389918,0.03,0.03588046831651154,0.012880996038698828,0.005266342201325963
5,prey_kin,prey,prey,3521,7385,parent_to_child,1.0,1.0,4,0,0.4490475504809899,0.41904755048098985,0.5310389049389918,0.5610389049389918,0.03,0.036809419682904965,0.011685948488466574,0.00693122739430484
5,prey_kin,prey,prey,3904,6525,other,1.0,1.0,3,1,0.4501766696677245,0.4201766696677245,0.3323320479099565,0.36233204790995654,0.03,0.0257727828521509,0.01172949379026153,0.006656988727395206
5,prey_kin,prey,prey,3904,6525,other,1.0,1.0,3,1,0.4201766696677245,0.39017666966772446,0.36233204790995654,0.39233204790995657,0.03,0.027914465483361406,0.010611312843426493,0.009303060957178554
5,prey_kin,prey,prey,3904,6525,other,1.0,1.0,3,1,0.39017666966772446,0.36017666966772444,0.39233204790995657,0.4223320479099566,0.03,0.029982096114035572,0.009574263806135672,0.011815172065257333
5,prey_kin,prey,prey,3904,6525,other,1.0,1.0,3,1,0.36017666966772444,0.35,0.4223320479099566,0.43250871757768106,0.010176669667724458,0.01061820190672863,0.003026572005779729,0.0045485270763406215
5,prey_kin,prey,prey,7538,6358,other,1.0,1.0,0,1,0.4036279310501384,0.37362793105013836,0.7887279310501383,0.8187279310501383,0.03,0.029232208439924356,0.010029210811086847,0.018496472796629717
5,prey_kin,prey,prey,7538,6358,other,1.0,1.0,0,1,0.37362793105013836,0.35,0.8187279310501383,0.8423558621002767,0.023627931050138384,0.02154715347773295,0.00719637568325103,0.01382999610168929
5,prey_kin,prey,prey,7692,6358,full_sibling,1.0,1.0,0,1,0.40780036207757603,0.37780036207757606,0.8423558621002767,0.8723558621002767,0.03,0.025435104000151032,0.010173644210242416,0.015261459789908616
5,prey_kin,prey,prey,7692,6358,full_sibling,1.0,1.0,0,1,0.37780036207757606,0.35,0.8723558621002767,0.9001562241778528,0.02780036207757608,0.021642218590957163,0.008529999604127259,0.013112218986829904
5,prey_kin,prey,prey,6011,7385,full_sibling,1.0,1.0,1,0,0.49734346352543946,0.46734346352543943,0.5610389049389918,0.5910389049389918,0.03,0.037348441062000415,0.013647692777199669,0.00663004278340985
5,prey_kin,prey,prey,6011,7385,full_sibling,1.0,1.0,1,0,0.46734346352543943,0.4373434635254394,0.5910389049389918,0.6210389049389918,0.03,0.03747390178262472,0.0124054223096315,0.007940430131996957
5,prey_kin,prey,prey,6011,7385,full_sibling,1.0,1.0,1,0,0.4373434635254394,0.4073434635254394,0.6210389049389918,0.6510389049389919,0.03,0.037180228270045856,0.01124127448145125,0.008945132648407867
5,prey_kin,prey,prey,6011,7385,full_sibling,1.0,1.0,1,0,0.4073434635254394,0.37734346352543935,0.6510389049389919,0.6810389049389919,0.03,0.03648042344947999,0.010157751527453282,0.009648707827024327
5,prey_kin,prey,prey,5337,7388,full_sibling,1.0,1.0,2,0,0.3848092467756168,0.35480924677561676,0.41964508572658915,0.4496450857265891,0.03,0.03174879464528685,0.009397266071708724,0.01477072057542141
5,prey_kin,prey,prey,5337,7388,full_sibling,1.0,1.0,2,0,0.35480924677561676,0.35,0.4496450857265891,0.4544543325022059,0.004809246775616782,0.005258672319437496,0.0014167692696588907,0.0025862652964632965
5,prey_kin,prey,prey,5575,7478,parent_to_child,1.0,1.0,2,0,0.35071809783729374,0.35,0.28695117095778583,0.2876692687950796,0.000718097837293763,0.0005140524832812354,0.0002100219046767965,5.465805050650102e-05
6,prey_kin,prey,prey,2241,8764,other,1.0,1.0,5,0,0.35971062372835033,0.35,0.31857527509998346,0.3282858988283338,0.009710623728350354,0.007784598039591972,0.0028855881483350887,0.00016867396462294992
6,prey_kin,prey,prey,6190,8739,other,1.0,1.0,2,0,0.40383852016804267,0.37383852016804264,0.43445368609242346,0.46445368609242343,0.03,0.032642849273678776,0.010036462940920268,0.003486064484422298
6,prey_kin,prey,prey,6190,8739,other,1.0,1.0,2,0,0.37383852016804264,0.35,0.46445368609242343,0.4882922062604661,0.023838520168042665,0.02711780084298654,0.007263224008039318,0.003970513664178804
6,prey_kin,prey,prey,3593,8739,other,1.0,1.0,4,0,0.45179279731768457,0.4217927973176846,0.4882922062604661,0.5182922062604661,0.03,0.03537691921780761,0.011792018090045181,0.0004708646737573152
6,prey_kin,prey,prey,3593,8739,other,1.0,1.0,4,0,0.4217927973176846,0.39179279731768457,0.5182922062604661,0.5482922062604662,0.03,0.036460395172631443,0.010669485986394778,0.0019689675988690623
6,prey_kin,prey,prey,3593,8739,other,1.0,1.0,4,0,0.39179279731768457,0.36179279731768454,0.5482922062604662,0.5782922062604662,0.03,0.037168969443865385,0.00962806390930579,0.003256006406009964
6,prey_kin,prey,prey,3593,8739,other,1.0,1.0,4,0,0.36179279731768454,0.35,0.5782922062604662,0.5900850035781507,0.011792797317684567,0.014716926816824794,0.003517257367522217,0.0015841463778706174
6,prey_kin,prey,prey,5127,8212,parent_to_child,1.0,1.0,3,0,0.3988747384137542,0.3688747384137542,0.32635205870216255,0.3563520587021626,0.03,0.02534198066933105,0.00986658740723656,0.0025224632381457245
6,prey_kin,prey,prey,5127,8212,parent_to_child,1.0,1.0,3,0,0.3688747384137542,0.35,0.3563520587021626,0.3752267971159168,0.0188747384137542,0.017048504035310857,0.005700499833579439,0.0026340807454785856
6,prey_kin,prey,prey,4350,9018,parent_to_child,1.0,1.0,4,0,0.5710216105817413,0.5410216105817413,0.46719949956687923,0.49719949956687925,0.03,0.03441463639644493,0.01699271012115619,0.01159002194301045
6,prey_kin,prey,prey,4350,9018,parent_to_child,1.0,1.0,4,0,0.5410216105817413,0.5110216105817412,0.49719949956687925,0.5271994995668793,0.03,0.035735304187357764,0.01558527397055412,0.01409432551881466
6,prey_kin,prey,prey,4350,9018,parent_to_child,1.0,1.0,4,0,0.5110216105817412,0.4810216105817412,0.5271994995668793,0.5571994995668793,0.03,0.03671160517692185,0.014238786519806437,0.016251669992057967
6,prey_kin,prey,prey,4350,9018,parent_to_child,1.0,1.0,4,0,0.4810216105817412,0.4510216105817412,0.5571994995668793,0.5871994995668793,0.03,0.03730220951794866,0.01296236630691451,0.018018610733513345
6,prey_kin,prey,prey,8427,8739,other,1.0,1.0,0,0,0.36964865235083283,0.35,0.5900850035781507,0.6097336559289837,0.01964865235083285,0.02455587673212345,0.005942373757468436,0.0027464205668152695
7,pred_kin,predator,predator,246,257,full_sibling,1.0,1.0,3,2,3.6918,3.6718,1.0167840000000004,1.0367840000000004,0.02,0.004590874175335491,0.0016605759730473624,0.00017386942739932416
7,pred_kin,predator,predator,246,257,full_sibling,1.0,1.0,3,2,3.6718,3.6518,1.0367840000000004,1.0567840000000004,0.02,0.0046938527461273805,0.0016821324591037579,0.0001934616547075135
7,prey_kin,prey,prey,8054,9292,full_sibling,1.0,1.0,2,0,0.41580357245346433,0.3858035724534643,0.246718080667173,0.27671808066717296,0.03,0.019711226965868578,0.010455084298146802,0.006899229340963899
7,prey_kin,prey,prey,8054,9292,full_sibling,1.0,1.0,2,0,0.3858035724534643,0.3558035724534643,0.27671808066717296,0.306718080667173,0.03,0.021788325002896264,0.009429860444098062,0.009753188202537892
7,prey_kin,prey,prey,8054,9292,full_sibling,1.0,1.0,2,0,0.3558035724534643,0.35,0.306718080667173,0.3125216531206373,0.005803572453464301,0.004460627334206074,0.0017126993443205285,0.0022145612934391335
7,prey_kin,prey,prey,7597,9625,parent_to_child,1.0,1.0,2,0,0.3676547005105981,0.35,0.300808391326853,0.31846309183745114,0.017654700510598142,0.013570380660764852,0.005320520545596508,0.0043314786102674144
7,prey_kin,prey,prey,9104,9571,other,1.0,1.0,0,0,0.3598195562315046,0.35,0.29879120168895595,0.30861075792046055,0.0098195562315046,0.007409025211079445,0.00291852074022593,0.00015619712347133673
7,prey_kin,prey,prey,8575,8479,other,1.0,1.0,1,1,0.3639204949670499,0.35,0.32128234107083886,0.3352028360378888,0.013920494967049946,0.011320397391822473,0.004167517339338164,0.007152880052484309
7,prey_kin,prey,prey,3877,9237,other,1.0,1.0,5,0,0.4064356233055894,0.37643562330558944,0.2617125887193818,0.29171258871938177,0.03,0.02073951946664851,0.010126229297438435,0.006478618509703486
7,prey_kin,prey,prey,3877,9237,other,1.0,1.0,5,0,0.37643562330558944,0.35,0.29171258871938177,0.31814821202497123,0.026435623305589462,0.02002450114735352,0.008091665809085116,0.007940711146439221
7,prey_kin,prey,prey,3884,9292,other,1.0,1.0,5,0,0.5312706144057924,0.5012706144057923,0.3125216531206373,0.3425216531206373,0.03,0.02434503560320042,0.01514042905903501,0.008871449850186279
